Species,Height,Width,Biomass
PHAU,70,3.7,1.72
PHAU,79,3.7,2.83
PHAU,89,3.5,3.26
PHAU,94,3.8,4.28
PHAU,110,3.6,4.03
PHAU,134,4.2,5.05
PHAU,138,4.2,6.573
PHAU,157,3.81,8.21
PHAU,169,4.8,7.9
PHAU,157,5.5,9.64
PHAU,167,4.86,11.23
PHAU,167,5.4,10.23
PHAU,166,6,13.05
PHAU,183,5.7,15.34
PHAU,226,5.41,15.87
PHAU,199,6.6,17.41
PHAU,204,4.78,16.14
PHAU,247,6.2,18.39
PHAU,219,7.1,23.92
PHAU,221,5.67,19.67
PHAU,248,6.09,19.44
PHAU,252,7.2,28.94
PHAU,263,8.2,28.14
PHAU,265,9.2,25.2
PHAU,262,6.6,30.52
PHAU,263,8.3,33.61
PHAU,278,6.96,35.93
PHAU,316,8.46,43.69
PHAU,339,8.6,48.17
PHAU,352,9.1,51.2
SCAM,12,2.3,0.03
SCAM,30,1.8,0.13
SCAM,71,2,0.1689
SCAM,54,2.7,0.178
SCAM,53,3.2,0.18
SCAM,71,2.6,0.232
SCAM,63,3,0.268
SCAM,79,2.7,0.308
SCAM,71,2.5,0.314
SCAM,68,2.5,0.401
SCAM,76,3.1,0.427
SCAM,82,2.9,0.43
SCAM,79,3.5,0.477
SCAM,90,2.9,0.516
SCAM,64,4.4,0.536
SCAM,87,3.8,0.581
SCAM,97,3.8,0.591
SCAM,93,2.3,0.612
SCAM,96,3.4,0.6854
SCAM,96,3.3,0.754
SCAM,97,3.5,0.78
SCAM,98,3.7,0.825
SCAM,95,3.1,0.895
SCAM,78,4,0.9605
SCAM,108,4.4,1.01
SCAM,107,3.5,1.0132
SCAM,144,3.8,1.14
SCAM,116,4.2,1.2962
SCAM,93,4.8,1.355
SCAM,157,5.4,2.09
SPAL,84,1.3,1.44
SPAL,88,0.2,1.22
SPAL,94,1,1.32
SPAL,90,1,1.71
SPAL,88,0.1,1.49
SPAL,84,4.5,1.45
SPAL,85,0.5,2.1
SPAL,92,1.8,2.01
SPAL,102,1.7,2.05
SPAL,105,2.8,2.12
SPAL,93,2.8,2.53
SPAL,111,1.5,2.17
SPAL,113,0.7,3.02
SPAL,100,0.7,2.74
SPAL,104,3.7,3.41
SPAL,101,4.6,3.32
SPAL,105,1,3.04
SPAL,110,3.2,3.49
SPAL,112,5.4,3.72
SPAL,96,3.4,3.59
SPAL,120,4.1,3.75
SPAL,118,4.5,3.96
SPAL,124,4.3,4.26
SPAL,122,4.5,5.04
SPAL,119,3.2,4.74
SPAL,118,3.9,4.85
SPAL,130,5.5,6.64
SPAL,120,4,5.3
SPCY,165,4.9,6.41
SPCY,82,2.54,4.12
SPCY,183,5.3,8.76
SPCY,181,4.9,10.53
